#{"t_start": 1787474745.275153, "env_id": "None"}
r,l,t
-1.27,720,12.332647
-1.53,720,24.116818
-1.21,720,38.122679
-1.33,720,50.117573
-1.91,720,62.046909
-2.02,720,76.226047
-0.95,720,88.702395
-1.3,720,101.675473
-1.46,720,116.385556
-1.52,720,129.265783
-2.24,720,141.314887
-2.26,720,157.006706
-0.71,720,169.736054
-2.48,720,183.806596
-1.45,720,200.481217
-2.3,720,214.610156
-2.2,720,228.772066
-1.76,720,245.844339
-2.08,720,260.195667
-1.78,720,276.990258
-1.08,720,291.100833
-2.21,720,304.59216
-0.83,720,322.535991
-1.86,720,337.290016
-1.17,720,351.44533
-3.07,720,367.333743
-1.81,720,379.72659
-2.15,720,391.751846
