#{"t_start": 1787475114.51367, "env_id": "None"}
r,l,t
-5.66,720,17.785202
-3.8,720,35.249657
-4.07,720,53.919999
-3.64,720,70.942325
-2.75,720,87.281313
-3.91,720,105.152578
-3.67,720,121.863026
-4.62,720,138.468741
-3.65,720,157.200819
-4.26,720,173.542252
-3.29,720,191.225295
-3.29,720,210.294001
-3.49,720,227.980456
-2.91,720,244.601985
-2.73,720,263.1318
-4.57,720,279.909587
-3.08,720,296.614832
-2.55,720,315.167876
-3.81,720,331.765559
-5.81,720,350.104609
-2.15,720,366.57788
-4.07,720,383.243581
-3.81,720,401.926972
-3.9,720,418.41342
-4.78,720,434.414945
-2.87,720,451.18987
-3.72,720,466.733904
-4.47,720,482.465323
