#{"t_start": 1787476361.7032096, "env_id": "None"}
r,l,t
-947.34,360,13.110946
-12.78,360,19.573643
-3.42,360,25.446686
-7.13,360,29.615781
-5.21,360,33.556293
-2.05,360,38.758033
-15.73,360,42.861225
-5.88,360,46.629975
-6.56,360,50.204607
-9.28,360,55.588166
-5.01,360,59.9582
-5.98,360,65.105787
-3.85,360,68.598115
-11.73,360,72.89442
-14.47,360,77.06784
-3.57,360,80.995736
-4.7,360,85.650016
-7.26,360,90.337887
-8.88,360,93.994053
-10.58,360,97.780425
-0.74,360,101.281372
-5.12,360,105.078864
-5.49,360,110.105732
-6.25,360,113.492709
-99.12,360,117.577249
-1.93,360,121.530672
-2.4,360,124.820935
-2.23,360,128.189087
-128.63,360,133.653719
-5.6,360,137.320019
-4.9,360,141.278666
-4.31,360,145.127695
-5.33,360,149.762347
-5.21,360,155.097492
-7.57,360,166.520213
-5.35,360,172.034697
-5.16,360,177.589212
-7.0,360,183.659858
-6.08,360,189.274305
-102.7,360,204.66475
-1.74,360,208.974564
-5.98,360,213.21255
-10.46,360,217.547781
-11.64,360,222.317925
-4.45,360,225.98873
-419.56,360,233.93705
-7.05,360,237.737799
-5.73,360,241.80455
-5.79,360,246.084864
-4.85,360,251.63572
-3.6,360,257.307622
-3.18,360,284.381969
-434.54,360,291.264795
-3.44,360,296.728582
-5.21,360,301.739229
-8.9,360,307.400126
-6.31,360,325.726038
-5.07,360,329.625051
-1.07,360,333.665321
-0.71,360,337.508729
-570.9,360,344.467643
-2.2,360,348.149742
-5.06,360,353.993122
-9.87,360,358.120773
-8.18,360,362.25755
-5.17,360,365.814841
-5.21,360,369.467242
-15.48,360,373.543863
-28.41,360,379.038872
-2.25,360,382.569598
-26.95,360,387.452319
-4.53,360,390.922254
-6.26,360,394.707432
-5.78,360,400.514574
-71.1,360,404.149678
-16.17,360,408.48724
-3.11,360,413.318805
-18.35,360,418.691989
-2.69,360,425.105036
-0.95,360,497.98609
-886.03,360,510.083027
-390.84,360,519.930123
-8.51,360,529.202998
-6.58,360,537.214742
-5.33,360,546.551172
-21.36,360,574.817811
-13.77,360,581.590655
-3.83,360,587.782645
-408.46,360,598.537253
-6.29,360,604.813401
-5.25,360,610.604463
-3.79,360,618.36153
-567.19,360,632.950036
-234.46,360,642.970987
-6.37,360,651.131041
-535.2,360,668.483963
-3.68,360,682.915579
-6.21,360,689.029642
-4.66,360,696.089159
-199.56,360,704.220358
-8.02,360,710.81869
-3.34,360,717.03184
-5.27,360,730.906008
-2.85,360,736.315266
-13.34,360,744.24343
-5.13,360,751.797509
-6.68,360,759.505679
-5.76,360,766.316361
-3.11,360,787.195049
-8.56,360,793.892303
-4.32,360,801.48305
-6.37,360,808.337144
-17.59,360,816.133261
-6.06,360,840.462415
-9.26,360,846.372146
-0.8,360,852.913826
-6.99,360,860.87943
-4.34,360,868.318507
-3.96,360,875.187024
-436.04,360,905.254465
-3.43,360,913.392371
-4.17,360,922.987454
-5.52,360,931.04864
-12.43,360,939.85222
-2.33,360,948.017505
-4.94,360,1022.859713
-4.38,360,1028.769141
-5.43,360,1035.802969
-8.46,360,1043.900478
-83.42,360,1053.116852
-147.18,360,1095.660865
-5.09,360,1100.983888
-1.91,360,1106.780192
-6.12,360,1112.664569
-9.17,360,1118.608998
-3.79,360,1124.609906
-4.12,360,1137.806268
-4.4,360,1143.20911
-1.37,360,1148.649954
-5.29,360,1154.778044
-4.1,360,1162.235396
-4.46,360,1171.041457
