#{"t_start": 1787476440.8093433, "env_id": "None"}
r,l,t
-483.82,360,7.070569
-30.6,360,11.625231
-30.13,360,15.373009
-5.13,360,18.875385
-804.77,360,26.081282
-3.85,360,31.269819
-2.02,360,34.653081
-480.61,360,40.940381
-52.85,360,46.067277
-3.4,360,49.365649
-64.84,360,54.346748
-547.36,360,61.633898
-21.8,360,65.586927
-32.03,360,71.656292
-126.33,360,79.896269
-70.96,360,86.104261
-2.8,360,91.186672
-2.36,360,114.768592
-16.06,360,122.218737
-2.88,360,126.867312
-6.96,360,130.739838
-7.87,360,134.626023
-3.3,360,140.314427
-6.53,360,144.274163
-5.13,360,148.056972
-1.52,360,152.371063
-3.17,360,156.310231
-1.64,360,159.92695
-507.14,360,169.974524
-5.11,360,175.265999
-2.83,360,181.21045
-3.56,360,187.417954
-8.0,360,194.105827
-14.61,360,200.413049
-1.71,360,206.754506
-6.84,360,211.327874
-6.0,360,216.588825
-11.83,360,221.673528
-589.67,360,231.434444
-58.67,360,247.945163
-7.19,360,252.447455
-460.46,360,259.658249
-139.09,360,264.652347
-18.79,360,269.650292
-645.79,360,278.255435
-213.88,360,286.330015
-6.45,360,290.514638
-27.19,360,294.730469
-449.96,360,301.768562
-651.9,360,309.650411
-11.32,360,314.597339
-173.84,360,322.263067
-25.55,360,327.008236
-13.26,360,331.779688
-4.55,360,337.62542
-2.42,360,343.440796
-6.44,360,418.07536
-3.2,360,422.745843
-14.61,360,429.125896
-1.6,360,436.065686
-13.27,360,444.021062
-4.48,360,451.054434
-6.25,360,491.727828
-9.76,360,501.238083
-4.44,360,509.438039
-405.07,360,520.937839
-60.42,360,529.700466
-4.39,360,535.254858
-5.15,360,600.865261
-298.6,360,610.717216
-17.1,360,619.098948
-14.21,360,627.164405
-4.95,360,633.597249
-162.26,360,649.909189
-4.62,360,654.82778
-2.31,360,662.57587
-5.34,360,669.582371
-12.6,360,677.838606
-2.52,360,684.61373
-1.04,360,706.039532
-8.02,360,712.4057
-222.81,360,723.742187
-368.96,360,735.661186
-2.41,360,745.057911
-9.46,360,754.403075
-4.24,360,764.645761
-4.45,360,771.075712
-3.6,360,777.601335
-6.08,360,785.146084
-6.04,360,791.891634
-4.31,360,800.398543
-496.89,360,830.608779
-848.07,360,849.561894
-618.02,360,866.908812
-4.18,360,877.763977
-1.92,360,884.606179
-4.96,360,944.918528
-6.32,360,951.057913
-489.37,360,967.014677
-10.45,360,976.614873
-0.53,360,987.119951
-3.11,360,999.574954
-4.03,360,1018.480799
-465.08,360,1028.973028
-2.87,360,1034.531458
-465.75,360,1045.09111
-427.39,360,1056.408231
-4.65,360,1061.88764
-352.18,360,1075.592144
-9.62,360,1082.700713
-141.6,360,1099.739051
-617.61,360,1125.31898
-6.22,360,1139.215425
-1.6,360,1151.780482
-4.13,360,1157.513579
-4.91,360,1163.464409
-6.53,360,1170.803529
-13.43,360,1178.176754
-24.26,360,1205.745213
-3.25,360,1215.343784
-50.23,360,1222.497882
-13.46,360,1229.899811
-484.12,360,1242.828923
-453.03,360,1254.67786
-191.96,360,1263.332547
-5.52,360,1271.777672
-1.72,360,1278.176085
-15.14,360,1285.113686
-4.12,360,1291.223271
-622.31,360,1302.550579
-12.27,360,1345.874923
-6.02,360,1352.49492
-16.24,360,1361.521801
-5.64,360,1369.959306
-5.47,360,1377.709742
-5.25,360,1386.449154
-31.6,360,1407.559584
-959.22,360,1423.416882
-75.96,360,1433.0322
-1.33,360,1439.871015
-615.25,360,1452.122826
-7.58,360,1460.186255
